Designator,Mid X,Mid Y,Layer,Rotation
BATT,10.95, 4.62,Top,90.0
C1,-7.62,27.69,Top,90.0
C3,-3.25,11.28,Top,90.0
C4,-6.71, 8.13,Top,0.0
C6, 4.95,13.46,Top,90.0
C7,-6.40,17.20,Top,270.0
C8,-6.71, 9.55,Top,0.0
CHARGING, 6.58,13.94,Top,90.0
CHRG, 5.59, 9.73,Top,90.0
D1, 3.15, 9.55,Top,270.0
D2, 8.51,11.18,Top,0.0
IC2, 0.00,25.00,Top,0.0
J2,-8.08, 3.81,Top,90.0
J3, 0.00, 6.65,Top,0.0
LDO,-6.25,12.12,Top,180.0
R6,-8.48,17.20,Top,270.0
R7,-7.44,17.20,Top,90.0
R8,-7.62,25.57,Top,270.0
R10, 7.62,13.94,Top,90.0
C2,-7.46,28.05,Bottom,90.0
C5,-4.90,23.90,Bottom,270.0
C24,-4.93,11.86,Bottom,0.0
C25,-7.29, 9.83,Bottom,90.0
D3, 1.70,13.34,Bottom,0.0
FLASH,-12.04, 3.63,Bottom,270.0
IC1,-4.75, 8.94,Bottom,270.0
IC7,-4.24,14.40,Bottom,90.0
Q1,-1.40,10.97,Bottom,0.0
R1,-5.94,23.90,Bottom,270.0
R2,-8.18,18.41,Bottom,0.0
R3,-1.24, 3.68,Bottom,90.0
R4,-11.43, 8.86,Bottom,270.0
R5, 1.75, 3.68,Bottom,90.0
R12, 1.32, 9.53,Bottom,0.0
R13, 1.32,10.57,Bottom,0.0
R15, 7.06,10.13,Bottom,180.0
R16, 7.06,12.17,Bottom,180.0
RESET,12.04, 3.63,Bottom,90.0
