Designator,Mid X,Mid Y,Layer,Rotation
ANT, 0.00,34.60,Top,180.0
BATT,10.95, 4.62,Top,90.0
C1,-3.12,26.49,Top,90.0
C2,-4.67,26.85,Top,90.0
C3,-1.14,11.00,Top,90.0
C4,-7.14,11.84,Top,90.0
C6, 4.95,13.46,Top,90.0
C7,-5.94,18.03,Top,180.0
C8, 0.91,25.65,Top,90.0
C9, 3.27,25.20,Top,0.0
C10, 2.27,28.30,Top,180.0
C11, 7.21,22.81,Top,180.0
C12, 7.14,17.68,Top,0.0
C15,-1.02,15.62,Top,270.0
C16, 0.05,15.62,Top,270.0
C17,-4.65,20.35,Top,180.0
CHARGING, 7.04,14.38,Top,90.0
CHRG, 5.59, 9.73,Top,90.0
D1, 3.15, 9.55,Top,270.0
D2, 8.51,11.18,Top,0.0
IC1, 1.02,20.04,Top,270.0
J2,-8.08, 3.81,Top,90.0
J3, 0.00, 6.65,Top,0.0
L1,-1.09,25.98,Top,180.0
L2, 2.77,26.75,Top,90.0
LDO,-3.96,11.86,Top,180.0
Q2, 7.14,20.24,Top,270.0
R6,-5.94,16.99,Top,180.0
R7,-5.94,15.95,Top,0.0
R8,-7.44,23.27,Top,180.0
R10, 8.15,14.38,Top,90.0
C5,10.29, 7.19,Bottom,180.0
C13, 6.76,22.07,Bottom,0.0
C14, 7.59,20.52,Bottom,0.0
D3,-1.14,12.09,Bottom,90.0
FLASH,-12.04, 3.63,Bottom,270.0
Q1,-3.96,10.92,Bottom,0.0
R1,10.29, 8.61,Bottom,0.0
R2,-6.65, 3.81,Bottom,90.0
R3,-1.24, 3.68,Bottom,90.0
R4,-3.53,16.54,Bottom,90.0
R5, 1.75, 3.68,Bottom,90.0
R12,-4.42,14.35,Bottom,0.0
R13,-6.50,11.51,Bottom,270.0
R15, 7.06,10.13,Bottom,180.0
R16, 7.06,12.17,Bottom,180.0
RESET,12.04, 3.63,Bottom,90.0
