Comment,Designator,Footprint,LCSC Part #
1.3M,R7,R0402,
1M,R6,R0402,
1k,R10,R0402,
10k,R8,R0402,
22uF,C3 C4 C6 C8,C0603,
100nF,C1 C7,C0402,
BAT60B,D1 D2,SOD323-R,
ESP32-C3-MINI-1-N4,IC2,ESP32C3MINI1N4,
HT7833,LDO,SOT23-5,
JST-PH-2/SMD,BATT,B2B-PH-SM4,
JST-SH-4P,J2,1X04_1MM_RA_VERT,C371588
RED,CHARGING,CHIPLED_0402,
TP4054,CHRG,SOT-23-5,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
1TS003B-2000-3500A-CT,FLASH RESET,1TS003B16003500A,C319396
1k65,R15,R0402,
1uF,C5,C0402,
3k3,R16,R0402,
5k1,R3 R5,R0402,
10k,R1 R2 R4 R12,R0402,
22uF,C2 C24 C25,C0603,
100k,R13,R0402,
AO3401,Q1,SOT23,
AP2191WG-7,IC7,SOT25,C141321
BAT60B,D3,SOD323-R,C514095
ME6211C33M5G,IC1,SOT23-5,
