Designator,Mid X,Mid Y,Layer,Rotation
BATT,10.95, 4.62,Top,90.0
C1,-10.62, 8.56,Top,180.0
C2,-7.82,15.04,Top,90.0
C3, 1.45,16.16,Top,45.0
C4,-5.79,14.68,Top,90.0
C5,-7.87,23.01,Top,0.0
C6, 4.95,13.46,Top,90.0
C24,-4.50, 7.98,Top,0.0
C25,-6.58, 2.36,Top,270.0
CHARGING, 7.04,14.38,Top,90.0
CHRG, 5.13, 9.88,Top,90.0
D1, 2.44, 9.55,Top,270.0
D2, 8.41,11.18,Top,0.0
IC1,-7.49, 9.86,Top,270.0
IC2, 0.00,25.00,Top,0.0
IC7,-3.20,10.49,Top,270.0
J2,-8.08, 3.81,Top,90.0
J3, 0.00, 6.65,Top,0.0
LDO,-2.62,14.71,Top,180.0
R1,-7.87,21.97,Top,0.0
R8,-7.48,26.30,Top,270.0
R10, 8.15,14.38,Top,90.0
C7,-7.47,24.18,Bottom,90.0
D3, 0.28,12.60,Bottom,0.0
FLASH,-12.04, 3.63,Bottom,270.0
Q1,-3.96,10.92,Bottom,0.0
R2,-10.92, 8.46,Bottom,0.0
R3,-1.91, 3.20,Bottom,90.0
R4,-10.92, 9.50,Bottom,0.0
R5, 1.75, 3.20,Bottom,90.0
R6,-6.43,24.18,Bottom,90.0
R7,-5.38,24.18,Bottom,270.0
R9,-6.78, 1.93,Bottom,180.0
R12,-3.96,13.92,Bottom,0.0
R13,-6.50,11.53,Bottom,270.0
R15, 7.06,10.13,Bottom,180.0
R16, 7.06,12.17,Bottom,180.0
RESET,12.04, 3.63,Bottom,90.0
